Vorname,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Maximilian,40,28,40,55,26,39,37,33,45,34,32,33,29,31,23
Daniel,34,28,14,29,25,17,21,19,20,25,22,13,20,,15
Leon,33,32,23,38,35,41,45,29,53,35,61,29,32,37,29
David,31,25,28,32,36,30,31,41,28,52,55,30,46,32,24
Paul,27,21,31,20,28,19,37,21,30,28,24,43,35,32,17
Tim,27,29,32,15,27,34,25,25,27,17,20,24,21,17,21
Alexander,26,26,29,29,32,51,37,31,30,29,26,29,25,15,24
Lukas,24,26,21,23,23,27,30,22,24,38,36,24,28,25,28
Luca,23,21,19,19,23,19,27,25,27,17,22,23,22,17,12
Kevin,22,13,10,15,9,,10,,,,,,,,
Michael,20,16,11,10,14,,16,13,14,10,,11,,13,15
Jonas,19,22,22,16,28,27,28,21,30,23,27,28,35,22,21
Max,19,17,,22,19,20,17,15,21,16,16,18,15,12,12
Moritz,19,13,16,20,22,24,20,22,10,23,21,19,18,27,24
Simon,19,13,18,13,24,19,16,22,14,,,,,12,
Elias,18,13,19,18,18,24,23,17,36,35,36,29,37,30,30
Florian,18,13,,12,9,12,10,9,,,,,,,
Nico,18,16,11,11,9,10,13,13,11,,15,,,,
Dominik,17,15,12,16,9,10,9,10,,10,,,,,
Fabian,17,24,12,21,23,16,28,13,22,12,18,11,,,10
Jan,17,23,18,12,18,14,13,20,19,15,15,14,12,28,14
Philipp,16,21,13,17,18,11,12,12,17,10,18,17,13,,
Sebastian,16,11,10,15,,15,14,,11,12,15,,,,
Ben,15,18,20,16,16,18,22,26,20,27,35,32,24,25,19
Felix,15,18,26,19,18,23,33,37,33,22,36,41,32,32,28
Tobias,15,9,,9,,12,15,,,,,,,,
Arda,14,,19,11,11,,,,,,,,,,
Jakob,14,25,19,13,14,23,17,30,27,30,23,30,22,22,30
Justin,14,11,,9,,,,,,,,,,,
Noah,14,22,9,21,18,10,17,16,24,34,37,25,30,29,24
Andreas,12,11,,,,,,8,,,15,10,9,,
