Date,Artist,Song,Weeks
8/4/1958,Ricky Nelson,Poor Little Fool,1
8/11/1958,Ricky Nelson,Poor Little Fool,2
8/18/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),3
8/25/1958,The Elegants,Little Star,4
9/1/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
9/8/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),6
9/15/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),7
9/22/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),8
9/29/1958,Tommy Edwards,It's All In The Game,7
10/6/1958,Tommy Edwards,It's All In The Game,8
10/13/1958,Tommy Edwards,It's All In The Game,9
10/20/1958,Tommy Edwards,It's All In The Game,10
10/27/1958,Tommy Edwards,It's All In The Game,11
11/3/1958,Tommy Edwards,It's All In The Game,12
11/10/1958,Conway Twitty,It's Only Make Believe,9
11/17/1958,The Kingston Trio,Tom Dooley,8
11/24/1958,Conway Twitty,It's Only Make Believe,11
12/1/1958,The Teddy Bears,"To Know Him, Is To Love Him",11
12/8/1958,The Teddy Bears,"To Know Him, Is To Love Him",12
12/15/1958,The Teddy Bears,"To Know Him, Is To Love Him",13
12/22/1958,The Chipmunks With David Seville,The Chipmunk Song,4
12/29/1958,The Chipmunks With David Seville,The Chipmunk Song,5
1/5/1959,The Chipmunks With David Seville,The Chipmunk Song,6
1/12/1959,The Chipmunks With David Seville,The Chipmunk Song,7
1/19/1959,The Platters,Smoke Gets In Your Eyes,10
1/26/1959,The Platters,Smoke Gets In Your Eyes,11
2/2/1959,The Platters,Smoke Gets In Your Eyes,12
2/9/1959,Lloyd Price,Stagger Lee,10
2/16/1959,Lloyd Price,Stagger Lee,11
2/23/1959,Lloyd Price,Stagger Lee,12
3/2/1959,Lloyd Price,Stagger Lee,13
3/9/1959,Frankie Avalon,Venus,5
3/16/1959,Frankie Avalon,Venus,6
3/23/1959,Frankie Avalon,Venus,7
3/30/1959,Frankie Avalon,Venus,8
4/6/1959,Frankie Avalon,Venus,9
4/13/1959,The Fleetwoods,Come Softly To Me,6
4/20/1959,The Fleetwoods,Come Softly To Me,7
4/27/1959,The Fleetwoods,Come Softly To Me,8
5/4/1959,The Fleetwoods,Come Softly To Me,9
5/11/1959,"Dave ""Baby"" Cortez",The Happy Organ,9
5/18/1959,Wilbert Harrison,Kansas City,6
5/25/1959,Wilbert Harrison,Kansas City,7
6/1/1959,Johnny Horton,The Battle Of New Orleans,6
6/8/1959,Johnny Horton,The Battle Of New Orleans,7
6/15/1959,Johnny Horton,The Battle Of New Orleans,8
6/22/1959,Johnny Horton,The Battle Of New Orleans,9
6/29/1959,Johnny Horton,The Battle Of New Orleans,10
