Date,Artist,Song,Week
1958-08-04,Ricky Nelson,Poor Little Fool,2
1958-08-05,Ricky Nelson,Poor Little Fool,2
1958-08-06,Ricky Nelson,Poor Little Fool,2
1958-08-07,Ricky Nelson,Poor Little Fool,2
1958-08-08,Ricky Nelson,Poor Little Fool,2
1958-08-09,Ricky Nelson,Poor Little Fool,2
1958-08-10,Ricky Nelson,Poor Little Fool,2
1958-08-11,Ricky Nelson,Poor Little Fool,2
1958-08-12,Ricky Nelson,Poor Little Fool,2
1958-08-13,Ricky Nelson,Poor Little Fool,2
1958-08-14,Ricky Nelson,Poor Little Fool,2
1958-08-15,Ricky Nelson,Poor Little Fool,2
1958-08-16,Ricky Nelson,Poor Little Fool,2
1958-08-17,Ricky Nelson,Poor Little Fool,2
1958-08-18,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-19,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-20,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-21,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-22,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-23,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-24,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-08-25,The Elegants,Little Star,1
1958-08-26,The Elegants,Little Star,1
1958-08-27,The Elegants,Little Star,1
1958-08-28,The Elegants,Little Star,1
1958-08-29,The Elegants,Little Star,1
1958-08-30,The Elegants,Little Star,1
1958-08-31,The Elegants,Little Star,1
1958-09-01,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-09-02,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-09-03,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-09-04,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-09-05,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-09-06,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
1958-09-07,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),5
