Country,count
Argentina,704
Australia,204
Austria,69
Bangladesh,1
Belgium,32
Bhutan,7
Bolivia,3
Brazil,4026
Bulgaria,1
Canada,11
Chile,3
Colombia,221
Croatia,1
Cyprus,1
Czech Republic,1
Denmark,1
Dominican Republic,3
Ecuador,2
Egypt,2
Estonia,7
Fiji,5
Finland,1
France,224
Germany,1148
Greece,3
Haiti,1
Hong Kong,5
Hungary,1
India,17713
Indonesia,227
Ireland,23
Israel,260
Italy,571
Japan,1
Kazakhstan,1
Kenya,1
Latvia,2
Lebanon,11
Lithuania,1
Luxembourg,1
Malaysia,26
Malta,2
Mexico,1274
Netherlands,89
Norway,2
Pakistan,4174
Panama,43
Peru,1
Philippines,4
Poland,18
Portugal,4
Romania,1
Russia,1537
Saudi Arabia,19
Singapore,6
Slovakia,42
Slovenia,15
South Africa,1
South Korea,20
Spain,140
Sweden,1
Switzerland,4
Taiwan,7
Thailand,584
Trinidad and Tobago,1
Turkey,747
Ukraine,1
United Arab Emirates,25
United Kingdom,128
Vietnam,1556
