Country,Restrictions,Year,Halfyear
Australia,48,2013,H2
Austria,78,2013,H2
Bangladesh,3,2013,H2
France,80,2013,H2
Germany,84,2013,H2
India,4765,2013,H2
Israel,113,2013,H2
Italy,5,2013,H2
Pakistan,162,2013,H2
Russia,4,2013,H2
Turkey,2014,2013,H2
United Arab Emirates,12,2013,H2
United Kingdom,3,2013,H2
Australia,7,2014,H1
Austria,15,2014,H1
France,22,2014,H1
Germany,34,2014,H1
India,4960,2014,H1
Israel,15,2014,H1
Italy,3,2014,H1
Kuwait,1,2014,H1
Pakistan,1773,2014,H1
Russia,29,2014,H1
Saudi Arabia,7,2014,H1
Thailand,5,2014,H1
Turkey,1893,2014,H1
United Arab Emirates,1,2014,H1
United Kingdom,9,2014,H1
Argentina,1,2014,H2
Australia,3,2014,H2
Belgium,1,2014,H2
Brazil,3,2014,H2
France,13,2014,H2
Germany,60,2014,H2
India,5832,2014,H2
Israel,15,2014,H2
Italy,1,2014,H2
Kazakhstan,1,2014,H2
Myanmar,5,2014,H2
New Zealand,1,2014,H2
Norway,5,2014,H2
Pakistan,54,2014,H2
Russia,55,2014,H2
Thailand,30,2014,H2
Turkey,3624,2014,H2
United Kingdom,3,2014,H2
Argentina,1,2015,H1
Australia,1,2015,H1
Austria,170,2015,H1
Brazil,7,2015,H1
China,5,2015,H1
France,295,2015,H1
Germany,188,2015,H1
India,15155,2015,H1
Israel,195,2015,H1
Kazakhstan,11,2015,H1
Romania,2,2015,H1
Russia,28,2015,H1
South Korea,6,2015,H1
Turkey,4496,2015,H1
United Kingdom,8,2015,H1
Argentina,1,2015,H2
Australia,6,2015,H2
Austria,231,2015,H2
Bangladesh,4,2015,H2
Brazil,34,2015,H2
Estonia,1,2015,H2
Finland,4,2015,H2
France,37695,2015,H2
Germany,366,2015,H2
Hong Kong,1,2015,H2
India,14971,2015,H2
Israel,236,2015,H2
Italy,8,2015,H2
Kazakhstan,25,2015,H2
Myanmar,1,2015,H2
Pakistan,6,2015,H2
